name,number,status
Include Fine Grained Error Locations in Tracebacks,657,Final
Specializing Adaptive Interpreter,659,Draft
Platform Tag for Linux Distributions Using Musl,656,Final
Marking individual TypedDict items as required or potentially-missing,655,Final
Serve Distribution Metadata in the Simple Repository API,658,Accepted
Exception Groups and except*,654,Final
Precise Semantics for Pattern Matching,653,Draft
Maintaining the Stable ABI,652,Final
Extensible customizations of the interpreter at startup,648,Rejected
User-Defined Type Guards,647,Final
Robust Stack Overflow Handling,651,Rejected
Deferred Evaluation Of Annotations Using Descriptors,649,Accepted
Variadic Generics,646,Accepted
Allow writing optional types as,645,Withdrawn
Require OpenSSL 1.1.1 or newer,644,Final
Specifying Installer Requirements for Python Projects,650,Withdrawn
Metadata for Package Source Distributions,643,Final
Unused variable syntax,640,Rejected
Improving License Clarity with Better Package Metadata,639,Draft
Syntactic Macros,638,Draft
Explicit Pattern Syntax for Structural Pattern Matching,642,Rejected
Using an underscore in the version portion of Python 3.10 compatibility tags,641,Rejected
Structural Pattern Matching: Tutorial,636,Final
Support for indexing with keyword arguments,637,Rejected
Structural Pattern Matching: Specification,634,Final
Structural Pattern Matching: Motivation and Rationale,635,Final
Dependency specification in pyproject.toml using an exploded TOML table,633,Rejected
Deprecate distutils module,632,Final
Add,628,Final
Dependency specification in pyproject.toml based on PEP 508,631,Superseded
Isolating Extension Modules,630,Final
Versioning PyPI’s Simple API,629,Final
Recording installed projects,627,Final
Precise line numbers for debugging and other tools.,626,Final
Remove Py_UNICODE encoder APIs,624,Final
Filename of a Source Distribution,625,Accepted
Python 3.10 Release Schedule,619,Active
Storing project metadata in pyproject.toml,621,Final
Remove wstr from Unicode,623,Final
Add Optional Length-Checking To zip,618,Final
Hide implementation details from the C API,620,Withdrawn
New PEG parser for CPython,617,Final
Support for the IANA Time Zone Database in the Standard Library,615,Accepted
Structural Pattern Matching,622,Superseded
String methods to remove prefixes and suffixes,616,Final
The one million limit,611,Withdrawn
Parameter Specification Variables,612,Final
Relaxing Grammar Restrictions On Decorators,614,Final
Explicit Type Aliases,613,Final
Coordinated Python release,608,Rejected
Recording the Direct URL Origin of installed distributions,610,Final
Python Packaging Authority (PyPA) Governance,609,Active
A rolling feature release stream for CPython,605,Rejected
Allow writing union types as,604,Final
Reducing CPython’s Feature Delivery Latency,607,Final
Adding a frozenmap type to collections,603,Draft
Python Compatibility Version,606,Rejected
Forbid return/break/continue breaking out of finally,601,Rejected
Annual Release Cycle for Python,602,Active
Add optional EncodingWarning,597,Final
Introducing incremental feature releases,598,Withdrawn
The manylinux2014 Platform Tag,599,Superseded
Python 3.9 Release Schedule,596,Active
Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,600,Final
Improving bugs.python.org,595,Withdrawn
Flexible function and variable annotations,593,Final
Removing dead batteries from the standard library,594,Final
Type Hinting Generics In Standard Collections,585,Final
TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,589,Final
Python Initialization Configuration,587,Final
Vectorcall: a fast calling protocol for CPython,590,Accepted
Add Union Operators To dict,584,Final
GitHub Issues Migration Plan,588,Draft
Literal Types,586,Final
Adding “Yank” Support to the Simple API,592,Final
Adding a final qualifier to typing,591,Final
A Concurrency Memory Model for Python,583,Withdrawn
Python local packages directory,582,Rejected
Refactoring C functions and methods,579,Final
Using GitHub Issues for CPython,581,Accepted
The C call protocol,580,Rejected
Rationalize Built-in function classes,576,Withdrawn
Augmented Assignment Expressions,577,Withdrawn
Python Runtime Audit Hooks,578,Accepted
Python 3.8 Release Schedule,569,Active
Unifying function/method classes,575,Withdrawn
Pickle protocol 5 with out-of-band data,574,Final
Assignment Expressions,572,Final
The manylinux2010 Platform Tag,571,Superseded
Python Positional-Only Parameters,570,Final
Generator-sensitivity for Context Variables,568,Deferred
Module State Access from C Extension Methods,573,Final
Context Variables,567,Final
Metadata for Python Software Packages 2.1,566,Final
Show DeprecationWarning in __main__,565,Final
Add new time functions with nanosecond resolution,564,Final
Postponed Evaluation of Annotations,563,Accepted
Module __getattr__ and __dir__,562,Final
Distributing and Packaging Type Information,561,Final
Built-in noop(),559,Rejected
Context-local variables (contextvars),555,Withdrawn
Built-in breakpoint(),553,Final
Core support for typing module and generic types,560,Final
Multiple Interpreters in the Stdlib,554,Superseded
Defined semantics for locals(),558,Withdrawn
Data Classes,557,Final
Threaded garbage collection,556,Deferred
Instance Descriptors,549,Rejected
Security transparency in the Python runtime,551,Withdrawn
More Flexible Loop Control,548,Rejected
Deterministic pycs,552,Final
Running extension modules using the -m option,547,Deferred
Python Documentation Translations,545,Final
Execution Context,550,Withdrawn
Protocols: Structural subtyping (static duck typing),544,Final
A Unified TLS API for Python,543,Withdrawn
Dot Notation Assignment In Function Header,542,Rejected
Package Index Name Retention,541,Final
Add a new UTF-8 Mode,540,Final
A New C-API for Thread-Local Storage in CPython,539,Final
Coercing the legacy C locale to a UTF-8 based locale,538,Final
Final Grammar for Literal String Interpolation,536,Withdrawn
Improved Errors for Missing Standard Library Modules,534,Deferred
Deterministic cleanup for iterators,533,Deferred
A circuit breaking protocol and binary operators,532,Deferred
Python 3.7 Release Schedule,537,Final
Rich comparison chaining,535,Deferred
Existence checking operators,531,Withdrawn
Removing Un(der)used file types/extensions on PyPI,527,Final
Syntax for Variable Annotations,526,Final
Asynchronous Generators,525,Final
Adding a frame evaluation API to CPython,523,Final
Make os.urandom() blocking on Linux,524,Final
Asynchronous Comprehensions,530,Final
Allow BlockingIOError in security sensitive APIs,522,Rejected
Managing global context via ‘with’ blocks in generators and coroutines,521,Withdrawn
Preserving Class Attribute Definition Order,520,Final
Underscores in Numeric Literals,515,Final
A build-system independent format for source trees,517,Final
Python registration in the Windows registry,514,Active
Build system abstraction for pip/conda etc,516,Rejected
Adding a file system path protocol,519,Final
Specifying Minimum Build System Requirements for Python Projects,518,Final
API for code transformers,511,Rejected
A Platform Tag for Portable Linux Built Distributions,513,Superseded
Migrate CPython to Git and GitLab,507,Rejected
Adding A Secrets Module To The Standard Library,506,Final
Migrating from hg.python.org to GitHub,512,Final
Dependency specification for Python Software Packages,508,Final
Specialize functions with guards,510,Rejected
Add a private version to dict,509,Superseded
None-aware operators,505,Deferred
A protocol for delegating datetime methods to their tzinfo implementations,500,Rejected
Literal String Interpolation,498,Final
Using the System RNG by default,504,Withdrawn
Simple Repository API,503,Final
General purpose string interpolation,501,Deferred
String Interpolation - Extended Discussion,502,Rejected
A standard mechanism for backward compatibility,497,Rejected
Python 3.6 Release Schedule,494,Final
Environment Markers,496,Rejected
HTTPS verification migration tools for Python 2.7,493,Final
The Wheel Binary Package Format 1.9,491,Deferred
Chain exceptions at C level,490,Rejected
Local Time Disambiguation,495,Final
Simpler customisation of class creation,487,Final
Coroutines with async and await syntax,492,Final
Multi-phase extension module initialization,489,Final
A Function for testing approximate equality,485,Final
The Theory of Type Hints,483,Final
Elimination of PYO files,488,Final
Type Hints,484,Final
Literature Overview for Type Hints,482,Final
Make the Python Launcher aware of virtual environments,486,Final
Surviving a Compromise of PyPI: End-to-end signing of packages,480,Draft
"Migrate CPython to Git, Github, and Phabricator",481,Withdrawn
Backport ensurepip (PEP 453) to Python 2.7,477,Final
Change StopIteration handling inside generators,479,Final
Python 3.5 Release Schedule,478,Final
Retry system calls failing with EINTR,475,Final
Creating forge.python.org,474,Withdrawn
Adding structured data to built-in exceptions,473,Rejected
Support for indexing with keyword arguments,472,Rejected
os.scandir() function – a better and faster directory iterator,471,Final
Removing External Hosting Support on PyPI,470,Final
Migration of dict iteration code to Python 3,469,Withdrawn
Preserving the order of **kwargs in a function.,468,Final
Minor API improvements for binary sequences,467,Draft
Removal of the PyPI Mirror Authenticity API,464,Final
Network Security Enhancements for Python 2.7.x,466,Final
Exception-catching expressions,463,Rejected
Add binary interpolation and formatting,460,Withdrawn
Adding % formatting to bytes and bytearray,461,Final
Standard Metadata Extensions for Python Software Packages,459,Withdrawn
Core development workflow automation for CPython,462,Withdrawn
A dedicated infix operator for matrix multiplication,465,Final
Secure PyPI downloads with signed repository metadata,458,Accepted
Notation For Positional-Only Parameters,457,Final
Secure and interchangeable hash algorithm,456,Final
Add a new tracemalloc module to trace Python memory allocations,454,Final
Adding a key-transforming dictionary to collections,455,Rejected
API for Cryptographic Hash Functions v2.0,452,Final
Explicit bootstrapping of pip in Python installations,453,Final
A ModuleSpec Type for the Import System,451,Final
Adding A Statistics Module To The Standard Library,450,Final
Removal of the PyPI Mirror Auto Discovery and Naming Scheme,449,Final
Additional Unpacking Generalizations,448,Final
Add new APIs to customize Python memory allocators,445,Final
Single-dispatch generic functions,443,Final
Add __getdescriptor__ method to metaclass,447,Deferred
Make newly created file descriptors non-inheritable,446,Final
Improving Python ZIP Application Support,441,Final
Python Web3 Interface,444,Deferred
Safe object finalization,442,Final
Version Identification and Dependency Specification,440,Final
Inclusion of implicit pip bootstrap in Python installation,439,Rejected
The Argument Clinic DSL,436,Final
Transitioning to release-file hosting on PyPI,438,Superseded
"A DSL for specifying signatures, annotations and argument converters",437,Rejected
Adding an Enum type to the Python standard library,435,Final
IDLE Enhancement Exception for All Branches,434,Active
Easier suppression of file descriptor inheritance,433,Superseded
Restructuring the CPython startup sequence,432,Withdrawn
Python 3.4 Release Schedule,429,Final
Time zone support improvements,431,Superseded
Migrating to Python 3 as the default online documentation,430,Final
The pathlib module – object-oriented filesystem paths,428,Final
A method for exposing a length hint,424,Final
The Wheel Binary Package Format 1.0,427,Final
Metadata for Python Software Packages 2.0,426,Withdrawn
Compatibility Tags for Built Distributions,425,Final
Naming conventions and recipes related to packaging,423,Deferred
Implicit Namespace Packages,420,Final
Adding sys.implementation,421,Final
Simpler customisation of class creation,422,Withdrawn
Protecting cleanup statements from interruptions,419,Deferred
Including mock in the Standard Library,417,Final
Add a frozendict builtin type,416,Rejected
"Add monotonic time, performance counter, and process time functions",418,Final
Implement context suppression with exception attributes,415,Final
Explicit Unicode Literal for Python 3.3,414,Final
Faster evolution of the Python Standard Library,413,Withdrawn
Key-Sharing Dictionary,412,Final
Provisional packages in the Python standard library,411,Superseded
Use decimal.Decimal type for timestamps,410,Rejected
Suppressing exception context,409,Final
General purpose decorator clause (aka “@in” clause),403,Deferred
Standard library __preview__ package,408,Rejected
Python 2.8 Un-release Schedule,404,Final
Python Virtual Environments,405,Final
New release cycle and introducing long-term support versions,407,Deferred
Improved Encapsulation of Import State,406,Withdrawn
Simplified Package Layout and Partitioning,402,Rejected
BDFL Retirement,401,April Fool!
Pure Python/C Accelerator Module Compatibility Requirements,399,Final
Module Version Numbers,396,Rejected
Python launcher for Windows,397,Final
Python 3.3 Release Schedule,398,Final
Qualified Names for Modules,395,Withdrawn
Deprecate codecs.StreamReader and codecs.StreamWriter,400,Deferred
The “python” Command on Unix-Like Systems,394,Active
Flexible String Representation,393,Final
Defining a Stable ABI,384,Final
Static metadata for Distutils,390,Rejected
Dictionary-Based Configuration For Logging,391,Final
Python 3.2 Release Schedule,392,Final
argparse - New Command Line Parsing Module,389,Final
Backwards Compatibility Policy,387,Active
Migrating from Subversion to Mercurial,385,Final
Changing the version comparison module in Distutils,386,Superseded
Syntax for Delegating to a Subgenerator,380,Final
Non-decodable Bytes in System Character Interfaces,383,Final
Namespace Packages,382,Rejected
Adding an Assignment Expression,379,Withdrawn
Mirroring infrastructure for PyPI,381,Withdrawn
Format Specifier for Thousands Separator,378,Final
Database of Installed Python Distributions,376,Final
Allow __enter__() methods to skip the statement body,377,Rejected
Python 2.7 Release Schedule,373,Final
Per user site-packages directory,370,Final
Python 3.1 Release Schedule,375,Final
Addition of the multiprocessing package to the standard library,371,Final
Adding an ordered dictionary to collections,372,Final
Post import hooks,369,Withdrawn
Choosing a distributed VCS for the Python project,374,Final
Standard image protocol and class,368,Deferred
Main module explicit relative imports,366,Final
Adding the pkg_resources module,365,Rejected
Function Signature Object,362,Final
Python 2.6 and 3.0 Release Schedule,361,Final
Externally Maintained Packages,360,Final
New Super,367,Superseded
Transitioning to the Py3K Standard Library,364,Withdrawn
Syntax For Dynamic Attribute Access,363,Rejected
The “make” Statement,359,Withdrawn
The “bytes” Object,358,Final
Allowing Any Object to be Used for Slicing,357,Final
Python 2.5 Release Schedule,356,Final
Path - Object oriented filesystem paths,355,Rejected
Enumerations in Python,354,Superseded
Using ssize_t as the index type,353,Final
Required Superclass for Exceptions,352,Final
The freeze protocol,351,Rejected
Codetags,350,Rejected
Allow str() to return unicode strings,349,Rejected
Exception Reorganization for Python 3.0,348,Rejected
Metadata for Python Software Packages 1.2,345,Superseded
Migrating the Python CVS to Subversion,347,Final
User Defined (”,346,Withdrawn
Exception Chaining and Embedded Tracebacks,344,Superseded
Coroutines via Enhanced Generators,342,Final
The “with” Statement,343,Final
Unifying try-except and try-finally,341,Final
Executing modules as scripts,338,Final
Logging Usage in the Standard Library,337,Deferred
Design of the CPython Compiler,339,Withdrawn
Make None Callable,336,Rejected
Anonymous Block Statements,340,Rejected
Simple Coroutines via SuspendIteration,334,Withdrawn
Overloadable Boolean Operators,335,Rejected
Byte vectors and String/Unicode Unification,332,Rejected
Locale-Independent Float/String Conversions,331,Final
Treating Builtins as Constants in the Standard Library,329,Rejected
Python Bytecode Verification,330,Rejected
A Case for Top and Bottom Values,326,Rejected
Imports: Multi-Line and Absolute/Relative,328,Final
Decimal Data Type,327,Final
Python Web Server Gateway Interface v1.0,333,Final
Reverse Iteration,322,Final
Resource-Release Support for Generators,325,Rejected
Date/Time Parsing and Formatting,321,Withdrawn
Copyable Iterators,323,Deferred
Python 2.4 Release Schedule,320,Final
subprocess - New process module,324,Final
Decorators for Functions and Methods,318,Final
Python Synchronize/Asynchronize Block,319,Rejected
Enhanced While Loop,315,Rejected
Metadata for Python Software Packages 1.1,314,Superseded
Eliminate Implicit Exception Instantiation,317,Rejected
Simplified Global Interpreter Lock Acquisition for Extensions,311,Final
Adding Roman Numeral Literals to Python,313,Rejected
Simple Implicit Lambda,312,Deferred
Programming by Contract for Python,316,Deferred
Reliable Acquisition/Release Pairs,310,Rejected
Partial Function Application,309,Final
Extensions to the pickle protocol,307,Final
Conditional Expressions,308,Final
How to Change Python’s Grammar,306,Withdrawn
Controlling Generation of Bytecode Files,304,Withdrawn
Extend divmod() for Multiple Divisors,303,Rejected
The Locked Buffer Interface,298,Withdrawn
CSV File API,305,Final
Package Index and Metadata for Distutils,301,Final
New Import Hooks,302,Final
Support for System Upgrades,297,Rejected
Adding a bytes Object Type,296,Withdrawn
Special __main__() function in modules,299,Rejected
Interpretation of multiline string constants,295,Rejected
Type Names in the types Module,294,Rejected
Simpler String Substitutions,292,Final
Backward Compatibility for the Python 2 Standard Library,291,Final
Code Migration and Modernization,290,Active
Codec Error Handling Callbacks,293,Final
Enhanced Argument Tuples,286,Deferred
Generators Attributes and Exceptions,288,Withdrawn
reStructuredText Docstring Format,287,Active
Generator Expressions,289,Final
Adding a bool type,285,Final
Loop Counter Iteration with range and xrange,281,Rejected
Integer for-loops,284,Rejected
Python 2.3 Release Schedule,283,Final
A Logging System,282,Final
Optimizing access to globals,280,Deferred
The enumerate() built-in function,279,Final
Universal Newline Support,278,Final
Dict Comprehensions,274,Final
Unicode file name support for Windows NT,277,Final
API for Block Encryption Algorithms v1.0,272,Final
Import Modules from Zip Archives,273,Final
Simple Iterator for ints,276,Rejected
Switching on Multiple Values,275,Rejected
Prefixing sys.path by command line option,271,Rejected
Pgen Module for Python,269,Deferred
Extended HTTP functionality and WebDAV,268,Rejected
Optimized Access to Module Namespaces,267,Deferred
Optimizing Global Variable/Attribute Access,266,Withdrawn
Defining Python Source Code Encodings,263,Final
uniq method for list objects,270,Rejected
Sorting Dictionaries by Value,265,Rejected
Future statements in simulated shells,264,Final
Docstring Conventions,257,Active
Simplify xrange(),260,Final
Omit printing newline after newline,259,Rejected
A Database of Installed Python Packages,262,Rejected
Docstring Processing System Framework,256,Rejected
Support for “wide” Unicode characters,261,Final
Docutils Design Specification,258,Rejected
Simple Generators,255,Final
Making Classes Look More Like Types,254,Rejected
Using site-packages on Windows,250,Final
Python 2.2 Release Schedule,251,Final
API for Cryptographic Hash Functions,247,Final
Python Database API Specification v1.0,248,Final
Python Interface Syntax,245,Rejected
The,244,Rejected
Subtyping Built-in Types,253,Final
Making Types Look More Like Classes,252,Final
Object Adaptation,246,Rejected
Python Database API Specification v2.0,249,Final
Module Repository Upload Mechanism,243,Withdrawn
Metadata for Python Software Packages,241,Superseded
Adding a Rational Literal to Python,240,Rejected
Unifying Long Integers and Integers,237,Final
Back to the __future__,236,Final
Adding a Rational Type to Python,239,Rejected
Changing the Division Operator,238,Final
Import on Case-Insensitive Platforms,235,Final
Numeric Kinds,242,Withdrawn
Iterators,234,Final
Python Online Help,233,Deferred
Function Attributes,232,Final
Warning Framework,230,Final
__findattr__(),231,Rejected
Using Distutils to Build Python,229,Final
Reworking Python’s Numeric Model,228,Withdrawn
Statically Nested Scopes,227,Final
Python 2.1 Release Schedule,226,Final
Elementwise/Objectwise Operators,225,Rejected
Web Library Enhancements,222,Deferred
Import As,221,Final
"Coroutines, Generators, Continuations",220,Rejected
Attribute Docstrings,224,Rejected
Stackless Python,219,Deferred
Change the Meaning of,223,Final
Adding a Built-In Set Object Type,218,Final
Display Hook for Interactive Use,217,Final
Docstring Format,216,Withdrawn
String Interpolation,215,Superseded
Extended Print Statement,214,Final
Attribute Access Handlers,213,Deferred
Adding A New Outer Product Operator,211,Rejected
Loop Counter Iteration,212,Rejected
Decoupling the Interpreter Loop,210,Rejected
Python Advanced Library,206,Withdrawn
Weak References,205,Final
Reworking the Coercion Model,208,Final
Rich Comparisons,207,Final
Range Literals,204,Rejected
Multi-dimensional Arrays,209,Withdrawn
Augmented Assignments,203,Final
Style Guide for C Code,7,Active
Deprecation of Standard Modules,4,Active
List Comprehensions,202,Final
Procedure for Adding New Modules,2,Active
Guidelines for Language Evolution,5,Superseded
Bug Fix Releases,6,Superseded
Guidelines for Handling Bug Reports,3,Withdrawn
